"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2465","openWebFormPageTest()","","Sun Dec 07 18:11:25 UTC 2025","broken","Sun Dec 07 18:11:27 UTC 2025","","ui.SimpleUITests","ui.SimpleUITests","openWebFormPageTest"
"","1487","loginTest()","","Sun Dec 07 18:11:23 UTC 2025","broken","Sun Dec 07 18:11:25 UTC 2025","","ui.SimpleUITests","ui.SimpleUITests","loginTest"
"","388","createUserImprovedTest3()","","Sun Dec 07 18:11:22 UTC 2025","passed","Sun Dec 07 18:11:23 UTC 2025","","apiTests.PetUserTests","apiTests.PetUserTests","createUserImprovedTest3"
"","1116","checkUserResponseBody()","","Sun Dec 07 18:11:21 UTC 2025","passed","Sun Dec 07 18:11:22 UTC 2025","","apiTests.PetUserTests","apiTests.PetUserTests","checkUserResponseBody"
"","375","createUserImprovedTest()","","Sun Dec 07 18:11:22 UTC 2025","passed","Sun Dec 07 18:11:22 UTC 2025","","apiTests.PetUserTests","apiTests.PetUserTests","createUserImprovedTest"
"","386","checkUserResponseBodyImprovedTest()","","Sun Dec 07 18:11:20 UTC 2025","passed","Sun Dec 07 18:11:20 UTC 2025","","apiTests.PetUserTests","apiTests.PetUserTests","checkUserResponseBodyImprovedTest"
"","2454","createUserParametrizedTest(User) [1] User(id=0, username=username, firstName=firstName, lastName=lastName, email=email, password=password, phone=phone, userStatus=0)","","Sun Dec 07 18:11:17 UTC 2025","passed","Sun Dec 07 18:11:19 UTC 2025","","apiTests.PetUserTests","apiTests.PetUserTests","createUserParametrizedTest"
"","392","createUserParametrizedTest(User) [2] User(id=0, username=chursovg, firstName=Gena, lastName=Chursov, email=mentor.com, password=123qwerty, phone=1231123, userStatus=0)","","Sun Dec 07 18:11:19 UTC 2025","passed","Sun Dec 07 18:11:20 UTC 2025","","apiTests.PetUserTests","apiTests.PetUserTests","createUserParametrizedTest"
"","392","createUserImprovedTest2()","","Sun Dec 07 18:11:22 UTC 2025","passed","Sun Dec 07 18:11:22 UTC 2025","","apiTests.PetUserTests","apiTests.PetUserTests","createUserImprovedTest2"
"","400","createUserParametrizedTest(User) [3] User(id=0, username=chursovg2, firstName=Gena2, lastName=Chursov2, email=mentor.com, password=123qwerty, phone=1231123, userStatus=0)","","Sun Dec 07 18:11:20 UTC 2025","passed","Sun Dec 07 18:11:20 UTC 2025","","apiTests.PetUserTests","apiTests.PetUserTests","createUserParametrizedTest"
"","346","createUser()","","Sun Dec 07 18:11:23 UTC 2025","passed","Sun Dec 07 18:11:23 UTC 2025","","apiTests.PetUserTests","apiTests.PetUserTests","createUser"
"","497","openSiteTest()","","Sun Dec 07 18:11:27 UTC 2025","passed","Sun Dec 07 18:11:28 UTC 2025","","ui.SimpleUITests","ui.SimpleUITests","openSiteTest"
